Year,Total
1990,73887.0258
1991,79768.192
1992,76957.131
1993,74130.3984
1994,65962.0646
1995,74253.3495
1996,81884.0558
1997,77961.8372
1998,82872.4404
1999,92405.0347
2000,87970.0873
2001,85759.1038
2002,90260.2697
2003,87985.6011
2004,89841.0714
2005,88136.7472
2006,98495.2617
2007,94173.0921
2008,95466.1745
2009,94627.1038
2010,102961.7196
2011,106377.6947
2012,107611.0636
2013,113519.4098
2014,113235.3712
2015,120520.287
2016,119502.396
2017,119836.0242
2018,125174.4837
